University,Faculty,Department,City,Type,Founded_Year
ahram canadian university,Faculty of Medicine,Internal Medicine,6th of October City,Private,2005.0
ahram canadian university,Faculty of Medicine,Surgery,6th of October City,Private,2005.0
ahram canadian university,Faculty of Medicine,Pediatrics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Medicine,Obstetrics & Gynecology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Medicine,Pharmacology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Medicine,Anatomy,6th of October City,Private,2005.0
ahram canadian university,Faculty of Engineering,Civil Engineering,6th of October City,Private,2005.0
ahram canadian university,Faculty of Engineering,Mechanical Engineering,6th of October City,Private,2005.0
ahram canadian university,Faculty of Engineering,Electrical Engineering,6th of October City,Private,2005.0
ahram canadian university,Faculty of Engineering,Architecture,6th of October City,Private,2005.0
ahram canadian university,Faculty of Engineering,Computer Engineering,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Mathematics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Physics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Chemistry,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Geology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Botany,6th of October City,Private,2005.0
ahram canadian university,Faculty of Science,Zoology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Agriculture,Agronomy,6th of October City,Private,2005.0
ahram canadian university,Faculty of Agriculture,Horticulture,6th of October City,Private,2005.0
ahram canadian university,Faculty of Agriculture,Animal Production,6th of October City,Private,2005.0
ahram canadian university,Faculty of Agriculture,Soil Science,6th of October City,Private,2005.0
ahram canadian university,Faculty of Agriculture,Plant Pathology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Commerce,Accounting,6th of October City,Private,2005.0
ahram canadian university,Faculty of Commerce,Business Administration,6th of October City,Private,2005.0
ahram canadian university,Faculty of Commerce,Economics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Commerce,Statistics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Law,Public Law,6th of October City,Private,2005.0
ahram canadian university,Faculty of Law,Private Law,6th of October City,Private,2005.0
ahram canadian university,Faculty of Law,International Law,6th of October City,Private,2005.0
ahram canadian university,Faculty of Law,Criminal Law,6th of October City,Private,2005.0
ahram canadian university,Faculty of Arts,English Language & Literature,6th of October City,Private,2005.0
ahram canadian university,Faculty of Arts,Arabic,6th of October City,Private,2005.0
